# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.664535e-15 -6.039613e-14 -1.598721e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.524419e-06 -2.505057e-05 -4.544243e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((2.615822e-03 8.269345e+01 7.084815e-02) (3.339877e-06 -1.167335e-02 -6.810524e-05)) ((-1.590179e-03 -2.270146e+00 5.116089e-03) (-1.615663e-07 -4.913331e-03 -8.171656e-07))
1.38052e-05   	((-1.510240e-03 7.598907e+00 2.374782e-02) (1.488976e-06 -1.186267e-02 -8.045136e-05)) ((-5.810637e-04 -1.754156e-01 6.153552e-03) (-2.024101e-07 -5.039633e-03 -1.256115e-06))
1.79621e-05   	((1.570604e-03 8.814196e+00 1.681406e-02) (1.410181e-06 -1.210547e-02 -8.847407e-05)) ((-1.737073e-04 -2.032761e-01 3.009284e-03) (-1.165304e-07 -5.116754e-03 -1.805277e-06))
2.23366e-05   	((1.289446e-03 9.194033e+00 8.982662e-03) (-2.436461e-08 -1.237887e-02 -9.316018e-05)) ((-3.882390e-05 -2.102545e-01 1.383290e-03) (-1.281836e-07 -5.157637e-03 -1.603427e-06))
2.68215e-05   	((1.139013e-03 9.294788e+00 6.291322e-03) (-8.231573e-07 -1.260933e-02 -9.251545e-05)) ((-7.018877e-06 -2.095923e-01 9.641343e-04) (-1.524235e-07 -5.176014e-03 -1.221567e-06))
3.13455e-05   	((1.062513e-03 9.367141e+00 6.994992e-03) (-1.313873e-06 -1.280687e-02 -9.408533e-05)) ((-2.396693e-05 -2.086109e-01 9.634550e-04) (-1.915112e-07 -5.178718e-03 -7.800044e-07))
3.59e-05      	((1.013782e-03 9.417323e+00 4.052139e-03) (-1.862629e-06 -1.297856e-02 -9.470366e-05)) ((8.132267e-06 -2.073447e-01 6.231513e-04) (-2.218775e-07 -5.167381e-03 -4.624126e-07))
4.04572e-05   	((1.070570e-03 9.441107e+00 3.941333e-03) (-1.897841e-06 -1.312582e-02 -9.541622e-05)) ((1.462691e-05 -2.055897e-01 6.411675e-04) (-2.446016e-07 -5.143514e-03 -3.277482e-07))
4.50072e-05   	((1.143107e-03 9.462016e+00 3.462779e-03) (-2.052145e-06 -1.325230e-02 -9.512752e-05)) ((2.038075e-05 -2.042131e-01 6.045462e-04) (-2.555608e-07 -5.110179e-03 -3.178188e-07))
4.95555e-05   	((9.039259e-04 9.471451e+00 2.269095e-03) (-2.525168e-06 -1.335997e-02 -9.620845e-05)) ((3.334765e-05 -2.027595e-01 3.501622e-04) (-2.602678e-07 -5.069621e-03 -2.603093e-07))
