# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.664535e-15 -6.039613e-14 -1.598721e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.524419e-06 -2.505057e-05 -4.544243e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-3.467001e-04 1.082895e+02 5.332142e-02) (1.265563e-05 6.123800e-03 -2.720905e-05)) ((-1.459687e-03 -3.058101e+00 3.403105e-03) (3.165853e-08 -5.480406e-04 -3.275950e-07))
1.34885e-05   	((-2.228820e-01 -2.572665e+02 -1.337729e+00) (2.551410e-05 -9.180562e-03 -9.779982e-05)) ((-1.031802e-02 1.130541e+01 -2.428092e-01) (-4.203562e-07 3.762972e-04 -1.181910e-05))
1.76746e-05   	((-9.740615e+00 -6.734608e+03 -2.675228e+01) (4.154190e-03 -2.906840e+00 6.116712e-04)) ((-1.393172e+00 2.827974e+02 1.018291e+00) (-8.482031e-04 2.148817e-01 1.970280e-03))
1.82545e-05   	((-1.041051e+02 -7.057956e+04 -1.373097e+02) (-2.752655e-02 -1.770081e+01 7.643560e-02)) ((-2.294568e+01 2.840786e+03 6.413244e+01) (-7.620683e-03 3.803206e-01 2.856541e-02))
1.85634e-05   	((1.727978e+02 -7.996899e+04 4.435615e+02) (-3.192194e-01 -4.937410e+01 8.101980e-01)) ((-7.176201e+01 3.169680e+03 4.280771e+02) (-3.225132e-02 1.494415e+00 1.283365e-01))
1.86448e-05   	((2.779598e+02 -2.991993e+04 7.283681e+02) (3.475824e-01 -2.826357e+01 8.849039e-01)) ((-2.367969e+01 1.123946e+03 2.881623e+02) (-1.964964e-02 1.399186e+00 7.300341e-02))
1.87404e-05   	((1.280326e+02 -9.107504e+03 3.611150e+02) (4.873991e-01 -1.812148e+01 7.827856e-01)) ((-6.309179e+00 3.346393e+02 1.199086e+02) (-1.446770e-02 1.315856e+00 -2.050551e-02))
1.88552e-05   	((4.497704e+01 -3.233462e+03 1.481324e+02) (6.868365e-01 -1.361329e+01 1.069090e+00)) ((-1.922016e+00 1.128031e+02 4.445105e+01) (-1.218711e-02 1.321723e+00 1.869331e-03))
1.8993e-05    	((1.352555e+01 -1.324941e+03 5.846431e+01) (7.493890e-01 -1.007315e+01 1.170333e+00)) ((-8.489628e-01 4.296880e+01 1.674408e+01) (-1.005327e-02 1.258599e+00 1.365083e-02))
1.91583e-05   	((3.826059e+00 -7.239134e+02 2.597882e+01) (7.011208e-01 -7.071338e+00 1.079526e+00)) ((-4.713596e-01 2.188287e+01 7.744472e+00) (-7.871305e-03 1.138818e+00 6.955038e-04))
1.93567e-05   	((1.234473e+00 -5.024023e+02 1.384940e+01) (6.198264e-01 -4.871728e+00 9.538959e-01)) ((-3.065029e-01 1.441076e+01 4.707824e+00) (-6.095533e-03 1.010482e+00 -1.064484e-02))
1.95947e-05   	((3.571948e-01 -3.974509e+02 8.123098e+00) (5.385500e-01 -3.347702e+00 8.231812e-01)) ((-2.314835e-01 1.133923e+01 3.174597e+00) (-4.700651e-03 8.873534e-01 -1.588459e-02))
1.98804e-05   	((6.003200e-02 -3.321744e+02 5.051432e+00) (4.714609e-01 -2.321051e+00 7.073526e-01)) ((-1.807477e-01 9.563577e+00 2.273538e+00) (-3.614267e-03 7.722782e-01 -1.762723e-02))
2.02232e-05   	((8.263483e-03 -2.859194e+02 3.450033e+00) (4.137722e-01 -1.622470e+00 6.179254e-01)) ((-1.412610e-01 8.315416e+00 1.754402e+00) (-2.767369e-03 6.681756e-01 -1.740879e-02))
2.06345e-05   	((-8.267259e-03 -2.496564e+02 2.454750e+00) (3.631294e-01 -1.142067e+00 5.401934e-01)) ((-1.134439e-01 7.309963e+00 1.364047e+00) (-2.110007e-03 5.751719e-01 -1.592009e-02))
2.11281e-05   	((-5.557500e-02 -2.175356e+02 1.863885e+00) (3.168233e-01 -8.144865e-01 4.674740e-01)) ((-8.899173e-02 6.380275e+00 1.082532e+00) (-1.603374e-03 4.924793e-01 -1.399292e-02))
2.17204e-05   	((-1.420666e-01 -1.884207e+02 1.234651e+00) (2.722946e-01 -5.920918e-01 4.011096e-01)) ((-6.820427e-02 5.522808e+00 7.942116e-01) (-1.219443e-03 4.194918e-01 -1.222558e-02))
2.24312e-05   	((-2.534578e-01 -1.626725e+02 6.862748e-01) (2.308054e-01 -4.375376e-01 3.415790e-01)) ((-5.289478e-02 4.729062e+00 5.485596e-01) (-9.242625e-04 3.555087e-01 -1.061655e-02))
2.32842e-05   	((-3.866249e-01 -1.393695e+02 1.349362e-01) (1.937347e-01 -3.282802e-01 2.889904e-01)) ((-3.954584e-02 3.980909e+00 3.363262e-01) (-7.068567e-04 2.999577e-01 -9.279289e-03))
2.43077e-05   	((-5.982382e-01 -1.175074e+02 -5.758499e-01) (1.603466e-01 -2.488867e-01 2.425182e-01)) ((-2.859209e-02 3.248251e+00 9.259631e-02) (-5.453107e-04 2.519411e-01 -7.987053e-03))
2.5536e-05    	((-9.689026e-01 -9.647637e+01 -1.691713e+00) (1.302107e-01 -1.887981e-01 2.004833e-01)) ((-1.826481e-02 2.479147e+00 -2.110037e-01) (-4.245466e-04 2.102045e-01 -6.966652e-03))
2.70099e-05   	((-1.718966e+00 -7.452758e+01 -3.749877e+00) (1.013151e-01 -1.386346e-01 1.612629e-01)) ((-9.354562e-03 1.579446e+00 -6.927793e-01) (-3.419548e-04 1.736185e-01 -6.262287e-03))
2.87437e-05   	((-3.380727e+00 -4.890240e+01 -8.091698e+00) (7.186770e-02 -8.966841e-02 1.209541e-01)) ((-3.746159e-03 3.645559e-01 -1.677568e+00) (-2.915921e-04 1.413821e-01 -6.278133e-03))
3.05711e-05   	((-6.362737e+00 -1.923695e+01 -1.598655e+01) (4.235482e-02 -3.777882e-02 7.749881e-02)) ((-8.482549e-03 -1.180753e+00 -3.509680e+00) (-2.722419e-04 1.144609e-01 -7.703491e-03))
3.21788e-05   	((-9.149779e+00 3.968139e+00 -2.419107e+01) (1.642158e-02 1.931488e-03 3.543918e-02)) ((-2.576120e-02 -2.313325e+00 -5.555614e+00) (-2.511736e-04 9.456064e-02 -9.657619e-03))
3.374e-05     	((-1.183161e+01 2.584054e+01 -3.291038e+01) (-3.650515e-03 3.660697e-02 -6.638119e-03)) ((-4.875378e-02 -3.316326e+00 -7.857383e+00) (-2.308971e-04 7.806901e-02 -1.204704e-02))
3.50633e-05   	((-1.160004e+01 3.078282e+01 -3.414599e+01) (-2.060119e-02 3.656475e-02 -3.140373e-02)) ((-6.197241e-02 -3.203834e+00 -8.480489e+00) (-1.959010e-04 6.733036e-02 -1.160821e-02))
3.63159e-05   	((-9.762811e+00 2.372892e+01 -2.988953e+01) (-3.731833e-02 2.296590e-02 -4.287566e-02)) ((-6.216373e-02 -2.532835e+00 -7.585223e+00) (-1.579549e-04 6.001832e-02 -9.946126e-03))
3.75052e-05   	((-7.098135e+00 9.919370e+00 -2.230198e+01) (-4.866469e-02 3.135870e-03 -4.517729e-02)) ((-5.475389e-02 -1.571668e+00 -5.788399e+00) (-1.198709e-04 5.508039e-02 -7.638674e-03))
3.87453e-05   	((-4.995818e+00 -1.530577e+00 -1.581480e+01) (-5.548165e-02 -1.379868e-02 -4.209436e-02)) ((-4.751633e-02 -8.243621e-01 -4.191972e+00) (-9.001085e-05 5.129131e-02 -5.602289e-03))
4.01385e-05   	((-3.743682e+00 -7.596158e+00 -1.176845e+01) (-5.837330e-02 -2.540897e-02 -3.666693e-02)) ((-4.364459e-02 -4.083319e-01 -3.183680e+00) (-6.844667e-05 4.785767e-02 -4.021599e-03))
4.1748e-05    	((-3.094857e+00 -9.484950e+00 -9.567261e+00) (-5.866100e-02 -3.137265e-02 -3.074956e-02)) ((-4.325994e-02 -2.272318e-01 -2.642243e+00) (-5.452678e-05 4.441961e-02 -2.951107e-03))
4.36166e-05   	((-2.841957e+00 -8.549011e+00 -8.597548e+00) (-5.763435e-02 -3.265704e-02 -2.582243e-02)) ((-4.579636e-02 -1.979408e-01 -2.421696e+00) (-4.655358e-05 4.085171e-02 -2.322342e-03))
4.57682e-05   	((-2.853535e+00 -5.775000e+00 -8.438397e+00) (-5.658873e-02 -3.045091e-02 -2.238710e-02)) ((-5.114803e-02 -2.675869e-01 -2.411134e+00) (-4.340434e-05 3.715974e-02 -2.033156e-03))
4.79669e-05   	((-2.667957e+00 -4.583760e+00 -7.771556e+00) (-5.540017e-02 -2.768055e-02 -2.014422e-02)) ((-5.185931e-02 -2.680238e-01 -2.242132e+00) (-4.043879e-05 3.382189e-02 -1.808494e-03))
5.02187e-05   	((-2.343196e+00 -4.666272e+00 -6.757320e+00) (-5.373606e-02 -2.511751e-02 -1.830441e-02)) ((-4.853387e-02 -2.192743e-01 -1.955751e+00) (-3.739906e-05 3.085034e-02 -1.597730e-03))
5.25562e-05   	((-1.977306e+00 -5.266336e+00 -5.651718e+00) (-5.173366e-02 -2.283914e-02 -1.649240e-02)) ((-4.321444e-02 -1.549331e-01 -1.632744e+00) (-3.370095e-05 2.818070e-02 -1.382931e-03))
5.50166e-05   	((-1.636050e+00 -5.886918e+00 -4.636721e+00) (-4.944976e-02 -2.070055e-02 -1.468629e-02)) ((-3.742528e-02 -9.577115e-02 -1.328966e+00) (-3.024699e-05 2.573941e-02 -1.183777e-03))
5.76427e-05   	((-1.350559e+00 -6.227611e+00 -3.790261e+00) (-4.687417e-02 -1.852890e-02 -1.288975e-02)) ((-3.204233e-02 -5.355319e-02 -1.070795e+00) (-2.726344e-05 2.346927e-02 -1.011598e-03))
6.0478e-05    	((-1.132637e+00 -6.186647e+00 -3.144995e+00) (-4.413549e-02 -1.623734e-02 -1.117323e-02)) ((-2.757464e-02 -3.151020e-02 -8.690110e-01) (-2.518630e-05 2.132365e-02 -8.711197e-04))
6.35265e-05   	((-9.601966e-01 -5.899439e+00 -2.630152e+00) (-4.136095e-02 -1.389763e-02 -9.655464e-03)) ((-2.375567e-02 -2.229460e-02 -7.054514e-01) (-2.355338e-05 1.930028e-02 -7.561227e-04))
6.68337e-05   	((-8.350063e-01 -5.367788e+00 -2.255692e+00) (-3.865103e-02 -1.153132e-02 -8.387199e-03)) ((-2.069252e-02 -2.628218e-02 -5.808963e-01) (-2.234949e-05 1.737467e-02 -6.667982e-04))
7.04339e-05   	((-7.481804e-01 -4.646636e+00 -1.989060e+00) (-3.604511e-02 -9.103737e-03 -7.367732e-03)) ((-1.822235e-02 -4.095476e-02 -4.856891e-01) (-2.164701e-05 1.553439e-02 -6.026730e-04))
7.43573e-05   	((-6.936018e-01 -3.786714e+00 -1.815435e+00) (-3.362116e-02 -6.610694e-03 -6.647176e-03)) ((-1.624439e-02 -6.415817e-02 -4.135351e-01) (-2.170500e-05 1.377191e-02 -5.610584e-04))
7.8626e-05    	((-6.671985e-01 -2.847328e+00 -1.717968e+00) (-3.139303e-02 -4.125541e-03 -6.234382e-03)) ((-1.467746e-02 -9.432747e-02 -3.589718e-01) (-2.215643e-05 1.208542e-02 -5.395821e-04))
8.32622e-05   	((-6.659495e-01 -1.849676e+00 -1.692446e+00) (-2.948314e-02 -1.696242e-03 -6.090991e-03)) ((-1.333191e-02 -1.310680e-01 -3.173011e-01) (-2.313965e-05 1.047491e-02 -5.373967e-04))
8.82668e-05   	((-6.869950e-01 -8.335873e-01 -1.726110e+00) (-2.790983e-02 6.773024e-04 -6.232891e-03)) ((-1.209344e-02 -1.730242e-01 -2.843183e-01) (-2.451860e-05 8.946036e-03 -5.485255e-04))
9.33396e-05   	((-6.741598e-01 8.150211e-03 -1.682891e+00) (-2.657176e-02 2.690148e-03 -6.412167e-03)) ((-1.027449e-02 -2.017100e-01 -2.412736e-01) (-2.528455e-05 7.605546e-03 -5.471611e-04))
9.84278e-05   	((-6.209961e-01 6.380912e-01 -1.543982e+00) (-2.527344e-02 4.318875e-03 -6.403142e-03)) ((-7.988608e-03 -2.135500e-01 -1.897381e-01) (-2.513490e-05 6.461029e-03 -5.261541e-04))
0.000103556   	((-5.372878e-01 1.087148e+00 -1.330077e+00) (-2.382526e-02 5.609482e-03 -6.108093e-03)) ((-5.365086e-03 -2.114750e-01 -1.337111e-01) (-2.362479e-05 5.494316e-03 -4.790407e-04))
0.000108745   	((-4.362500e-01 1.408785e+00 -1.071347e+00) (-2.211942e-02 6.569397e-03 -5.491031e-03)) ((-2.568480e-03 -1.994981e-01 -7.790475e-02) (-2.108199e-05 4.686119e-03 -4.129014e-04))
0.000114021   	((-3.304924e-01 1.662143e+00 -7.987559e-01) (-2.015082e-02 7.280676e-03 -4.659770e-03)) ((1.449582e-04 -1.821532e-01 -2.720445e-02) (-1.753316e-05 4.012345e-03 -3.335709e-04))
0.000119405   	((-2.321673e-01 1.931212e+00 -5.449064e-01) (-1.799828e-02 7.846947e-03 -3.690681e-03)) ((2.474431e-03 -1.644386e-01 1.293471e-02) (-1.354942e-05 3.446193e-03 -2.524827e-04))
0.00012492    	((-1.514647e-01 2.262625e+00 -3.366205e-01) (-1.576634e-02 8.336391e-03 -2.666257e-03)) ((4.043694e-03 -1.500208e-01 3.852329e-02) (-9.503353e-06 2.964810e-03 -1.762208e-04))
0.000130597   	((-9.080909e-02 2.645496e+00 -1.831485e-01) (-1.356421e-02 8.835231e-03 -1.695044e-03)) ((4.856463e-03 -1.403131e-01 5.117015e-02) (-5.941354e-06 2.547807e-03 -1.137238e-04))
0.000136446   	((-4.841269e-02 3.073988e+00 -7.725145e-02) (-1.148703e-02 9.392483e-03 -8.765867e-04)) ((5.066833e-03 -1.353349e-01 5.440128e-02) (-2.916847e-06 2.182152e-03 -6.624600e-05))
