# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             
0             	N/A           	N/A           	N/A           	N/A           	N/A           
1.91583e-05   	2.953949e-01	8.783151e-03	6.423763e-04	6.876283e-03	1.043895e-04
2.43077e-05   	1.308950e-01	6.287830e-03	4.506154e-04	5.142342e-03	2.346765e-04
3.87453e-05   	4.516175e-01	7.119705e-03	3.561619e-04	5.127502e-03	1.560325e-04
6.0478e-05    	2.586813e-01	4.437874e-03	3.552888e-04	6.174851e-03	2.475142e-04
0.000103556   	3.469729e-01	4.996881e-03	5.077454e-04	7.628972e-03	3.209396e-04
0.000161941   	1.030471e-01	5.801642e-03	5.163299e-04	6.574170e-03	3.555172e-04
0.000227486   	3.797297e-02	6.472782e-03	5.162365e-04	5.689660e-03	3.131311e-04
0.000288771   	2.803992e-02	5.215353e-03	5.330326e-04	5.409882e-03	2.992964e-04
0.000348678   	2.350135e-02	4.558128e-03	5.332118e-04	5.118301e-03	2.923964e-04
0.000404674   	1.949419e-02	4.134183e-03	5.140815e-04	4.600769e-03	2.824707e-04
0.000459211   	1.790256e-02	4.020810e-03	5.177664e-04	4.216414e-03	2.894423e-04
0.000513998   	1.702215e-02	3.828443e-03	5.110356e-04	3.857297e-03	2.911428e-04
0.000567348   	1.708040e-02	3.705748e-03	5.121610e-04	3.648894e-03	2.969532e-04
0.000621568   	1.593044e-02	3.705836e-03	5.307312e-04	3.591039e-03	3.108109e-04
0.000677221   	1.615721e-02	3.693320e-03	5.521914e-04	3.506984e-03	3.247824e-04
0.000734051   	1.636233e-02	3.628699e-03	5.702823e-04	3.361837e-03	3.336503e-04
0.000791398   	1.615831e-02	3.528066e-03	5.847349e-04	3.223247e-03	3.376071e-04
0.000848883   	1.622093e-02	3.422329e-03	5.960568e-04	3.084894e-03	3.372809e-04
0.000906177   	1.596218e-02	3.304223e-03	6.058485e-04	2.948527e-03	3.322585e-04
0.000963153   	1.578918e-02	3.195127e-03	6.143634e-04	2.829222e-03	3.243175e-04
0.00101978    	1.560834e-02	3.092113e-03	6.211995e-04	2.722306e-03	3.139248e-04
0.00107607    	1.496366e-02	2.991060e-03	6.280317e-04	2.612808e-03	3.013150e-04
0.00113203    	1.481238e-02	2.889527e-03	6.337985e-04	2.505746e-03	2.873748e-04
0.0011877     	1.439630e-02	2.774922e-03	6.375861e-04	2.406508e-03	2.723272e-04
0.00124299    	1.386427e-02	2.662586e-03	6.393900e-04	2.307436e-03	2.558914e-04
0.00129784    	1.357707e-02	2.563390e-03	6.389115e-04	2.216916e-03	2.392421e-04
0.00135229    	1.356325e-02	2.476435e-03	6.376117e-04	2.138459e-03	2.230336e-04
0.00140643    	1.334392e-02	2.399659e-03	6.345288e-04	2.069898e-03	2.077201e-04
0.00146037    	1.280917e-02	2.337375e-03	6.310945e-04	2.013031e-03	1.935607e-04
0.00151421    	1.205462e-02	2.286143e-03	6.277590e-04	1.965132e-03	1.810248e-04
0.00156807    	1.229145e-02	2.240784e-03	6.233552e-04	1.918775e-03	1.701436e-04
0.00162205    	1.243468e-02	2.207104e-03	6.190543e-04	1.886385e-03	1.608242e-04
0.00167622    	1.202700e-02	2.178400e-03	6.162463e-04	1.860199e-03	1.530807e-04
0.0017307     	1.176993e-02	2.154829e-03	6.125742e-04	1.837914e-03	1.466243e-04
0.00178548    	1.190976e-02	2.133402e-03	6.092715e-04	1.818901e-03	1.411650e-04
0.00184054    	1.217744e-02	2.110205e-03	6.056071e-04	1.803948e-03	1.365219e-04
0.00189584    	1.168926e-02	2.089051e-03	6.020775e-04	1.788972e-03	1.326492e-04
0.0019514     	1.153581e-02	2.066646e-03	5.976881e-04	1.777785e-03	1.295273e-04
0.00200721    	1.152677e-02	2.046816e-03	5.943525e-04	1.771728e-03	1.270241e-04
0.00206331    	1.177448e-02	2.030746e-03	5.909656e-04	1.765676e-03	1.249204e-04
0.00211969    	1.005733e-02	2.009260e-03	5.886809e-04	1.761912e-03	1.230708e-04
0.00217632    	1.039236e-02	1.991226e-03	5.828824e-04	1.756253e-03	1.211604e-04
0.00223313    	1.173374e-02	1.970153e-03	5.800071e-04	1.750239e-03	1.191704e-04
0.00229009    	1.131977e-02	1.949743e-03	5.758554e-04	1.743696e-03	1.171964e-04
0.00234711    	1.122638e-02	1.923933e-03	5.715135e-04	1.734267e-03	1.147665e-04
0.0024041     	1.170847e-02	1.897504e-03	5.670597e-04	1.725015e-03	1.122790e-04
0.0024611     	1.144444e-02	1.874030e-03	5.635850e-04	1.718194e-03	1.097779e-04
0.00251814    	1.132164e-02	1.847079e-03	5.609313e-04	1.712324e-03	1.072815e-04
0.00257518    	1.166772e-02	1.822376e-03	5.580568e-04	1.706916e-03	1.045498e-04
0.00263222    	1.138028e-02	1.795436e-03	5.557645e-04	1.700958e-03	1.018075e-04
0.00268925    	1.124172e-02	1.769177e-03	5.536491e-04	1.695066e-03	9.908342e-05
0.00274625    	1.177451e-02	1.742991e-03	5.511872e-04	1.689448e-03	9.629802e-05
0.00280321    	1.168518e-02	1.716974e-03	5.487739e-04	1.682670e-03	9.361557e-05
